@relation 'all_users_page chinese'

@attribute userID numeric
@attribute Page numeric
@attribute Total_Fixation_Count numeric
@attribute Total_Fixation_Duration numeric
@attribute Average_Fixation_Duration numeric
@attribute Fixation_Duration_SD numeric
@attribute Longest_Fixation_Duration numeric
@attribute Total_Refixation_Count numeric
@attribute Refixation_Ratio numeric
@attribute Total_Saccade_Length numeric
@attribute Average_Saccade_Length numeric
@attribute Saccade_Length_SD numeric
@attribute Total_Saccade_Absolute_Angle numeric
@attribute Average_Saccade_Absolute_Angle numeric
@attribute Saccade_Absolute_Angle_SD numeric
@attribute Total_Saccade_Relative_Angle numeric
@attribute Average_Saccade_Relative_Angle numeric
@attribute Saccade_Relative_Angle_SD numeric
@attribute Total_Left_Eye_Difference numeric
@attribute Average_Left_Eye_Difference numeric
@attribute Left_Eye_Difference_SD numeric
@attribute Total_Right_Eye_Difference numeric
@attribute Average_Right_Eye_Difference numeric
@attribute Right_Eye_Difference_SD numeric
@attribute Blink_Count numeric
@attribute Total_Blink_Duration numeric
@attribute Average_Blink_Duration numeric
@attribute 'Number of English AOIs' {Three,Zero,Six}
@attribute L1 {Chinese}
@attribute 'Eng Prof (Self)' {Low,Medium,High}
@attribute 'Eng Prof (Test)' {Low}
@attribute 'Chinese/Spanish Prof (Self)' {High}
@attribute 'Chinese/Spanish Prof (Test)' {High}

@data
3545,1,374,94.59971,0.25294,0.158533,1.48657,103,0.275401,38422.23907,1.524603,115.817534,570.201338,1.524603,97.917477,34749.05101,92.911901,58.993079,77.755169,0.210149,0.41783,77.755169,0.210149,0.41783,1,0.1418,0.1418,Three,Chinese,Low,Low,High,High
3545,2,266,66.08357,0.248434,0.160577,1.21484,53,0.199248,25401.66511,15.497259,132.834666,4122.270909,15.497259,99.580881,25689.22132,96.57602,54.946641,95.126067,0.361696,0.445603,95.126067,0.361696,0.445603,4,0.37151,0.092878,Zero,Chinese,Low,Low,High,High
3545,3,246,62.71948,0.254957,0.139642,1.01831,48,0.195122,27582.5991,7.598391,108.976287,1869.204245,7.598391,100.431303,24856.21476,101.041523,60.963376,20.732596,0.085319,0.337268,20.732596,0.085319,0.337268,4,0.36899,0.092247,Three,Chinese,Low,Low,High,High
3545,4,200,46.48637,0.232432,0.139853,1.09131,36,0.18,19781.51957,11.76854,117.960229,2353.707974,11.76854,101.380757,18260.30862,91.301543,54.099101,53.319085,0.273431,0.379533,53.319085,0.273431,0.379533,1,0.14304,0.14304,Three,Chinese,Low,Low,High,High
3545,5,133,29.40777,0.221111,0.091334,0.46216,23,0.172932,14032.34516,6.756587,116.480564,898.626069,6.756587,98.108688,11633.5293,87.470145,57.127064,31.966748,0.244021,0.34247,31.966748,0.244021,0.34247,1,0.14748,0.14748,Six,Chinese,Low,Low,High,High
3545,6,73,17.16432,0.235128,0.121419,0.60278,17,0.232877,6384.263627,17.702359,84.443713,1292.272185,17.702359,97.453646,7334.313374,100.470046,57.81351,13.933146,0.193516,0.257208,13.933146,0.193516,0.257208,1,0.13204,0.13204,Three,Chinese,Low,Low,High,High
3545,7,52,12.31395,0.236807,0.127076,0.65503,7,0.134615,4269.855263,-2.036962,107.511807,-105.922046,-2.036962,110.425922,4706.668228,90.512851,59.177616,16.452794,0.322604,0.296107,16.452794,0.322604,0.296107,1,0.09163,0.09163,Zero,Chinese,Low,Low,High,High
3545,8,211,46.093,0.21845,0.100465,0.54248,41,0.194313,20369.75162,9.532073,91.975253,2011.267459,9.532073,100.796584,21373.47887,101.296108,54.1967,12.97068,0.062061,0.245929,12.97068,0.062061,0.245929,0,0,0,Three,Chinese,Low,Low,High,High
3545,9,106,26.00831,0.245361,0.123602,0.93164,15,0.141509,11020.3648,9.092864,119.903567,963.843566,9.092864,96.248121,10881.25187,102.65332,63.504495,9.650231,0.091907,0.316315,9.650231,0.091907,0.316315,1,0.13128,0.13128,Three,Chinese,Low,Low,High,High
3545,10,191,43.78026,0.229216,0.112847,0.63574,38,0.198953,17046.8527,9.996308,94.281764,1909.294737,9.996308,99.273799,17326.82046,90.716337,58.604525,13.649364,0.074181,0.267047,13.649364,0.074181,0.267047,1,0.03133,0.03133,Six,Chinese,Low,Low,High,High
3545,11,155,37.14679,0.239657,0.125645,0.84424,14,0.090323,17583.36177,5.295261,107.423502,820.765454,5.295261,103.4016,15541.65116,100.268717,52.040811,4.494792,0.029187,0.330611,4.494792,0.029187,0.330611,1,0.12278,0.12278,Three,Chinese,Low,Low,High,High
